date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:04	20216/20216	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/magnific-popup/jquery.magnific-popup.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/magnific-popup/jquery.magnific-popup.min.js	(from http://solidcoinsfx.world/)
14:38:05	71012/71012	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/js/main.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/js/main.js	(from http://solidcoinsfx.world/)
14:38:06	4445/4445	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/jquery-circle-progress/circle-progress.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/jquery-circle-progress/circle-progress.min.js	(from http://solidcoinsfx.world/)
14:38:06	18037/18037	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/jQueryFormStyler/jquery.formstyler.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/jQueryFormStyler/jquery.formstyler.min.js	(from http://solidcoinsfx.world/)
14:38:08	9028/9028	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/waypoints/jquery.waypoints.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/waypoints/jquery.waypoints.min.js	(from http://solidcoinsfx.world/)
14:38:10	8182/8182	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/wow/wow.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/wow/wow.min.js	(from http://solidcoinsfx.world/)
14:38:11	6864/6864	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Oct%202017%2003:28:04%20GMT	http://solidcoinsfx.world/assets/libs/parallax.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/parallax.min.js	(from http://solidcoinsfx.world/)
14:38:12	42863/42863	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Jul%202018%2018:42:40%20GMT	http://solidcoinsfx.world/assets/libs/slick/slick.min.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/libs/slick/slick.min.js	(from http://solidcoinsfx.world/)
14:38:13	17314/17314	---M-Z	200	added ('OK')	application/javascript	etag:%226498f3ca-1473%22	https://cdnjs.cloudflare.com/ajax/libs/parallax/3.1.0/parallax.min.js	C:/Users/Miracle/Desktop/portfollio/investment/cdnjs.cloudflare.com/ajax/libs/parallax/3.1.0/parallax.min.js	(from http://solidcoinsfx.world/)
14:38:13	9623/9623	---M--	200	added ('OK')	application/javascript	date:Thu,%2026%20Jul%202018%2003:26:48%20GMT	http://solidcoinsfx.world/assets/js/common.js	C:/Users/Miracle/Desktop/portfollio/investment/solidcoinsfx.world/assets/js/common.js	(from http://solidcoinsfx.world/)
